date,actual,mean,naive,seasonal_naive_daily,seasonal_naive_weekly,drift,sarimax_univariate,sarimax,feature_model,feature_model_histgb,foundation_model
2016-05-13 19:00:00,208.33333333333337,97.46163394267658,348.3333333333333,123.33333333333331,126.66666666666669,348.432667343944,203.20352912950256,204.18136217080772,189.3486328125,196.15513826012034,172.31357
2016-05-13 20:00:00,120.0,97.46163394267658,348.3333333333333,100.0,116.66666666666669,348.53200135455467,178.11533558239302,179.2213754570879,193.33436584472656,208.07075845917402,123.68913
2016-05-13 21:00:00,63.333333333333336,97.46163394267658,348.3333333333333,71.66666666666667,71.66666666666667,348.63133536516534,124.1972381691694,129.45571236145585,152.07492065429688,190.19709565198283,85.4565
2016-05-13 22:00:00,55.0,97.46163394267658,348.3333333333333,60.0,53.333333333333336,348.730669375776,93.20902925051746,99.13837503598523,64.41951751708984,107.23522742635515,66.36072
2016-05-13 23:00:00,61.666666666666664,97.46163394267658,348.3333333333333,56.666666666666664,58.333333333333336,348.8300033863867,81.00721810212303,86.95526547681487,62.302345275878906,66.35050833768695,61.29666
2016-05-14 00:00:00,58.333333333333336,97.46163394267658,348.3333333333333,55.0,51.666666666666664,348.92933739699737,69.4514299895784,73.870091988697,63.93695068359375,48.56024631729554,60.08231
2016-05-14 01:00:00,63.333333333333336,97.46163394267658,348.3333333333333,53.333333333333336,56.666666666666664,349.02867140760804,65.41482442103477,68.29100897410842,69.90603637695312,51.256033199415135,57.237335
2016-05-14 02:00:00,60.0,97.46163394267658,348.3333333333333,58.333333333333336,53.333333333333336,349.1280054182187,60.968457216349435,63.03637909936434,71.99964141845703,49.34716208588704,56.188255
2016-05-14 03:00:00,60.0,97.46163394267658,348.3333333333333,58.333333333333336,55.0,349.2273394288294,57.38256815821675,59.73209957994672,74.87322235107422,48.49147328382309,54.788914
2016-05-14 04:00:00,60.0,97.46163394267658,348.3333333333333,50.0,55.0,349.32667343944007,55.614891887293716,59.575332151975104,76.86448669433594,53.39205847162131,55.004814
2016-05-14 05:00:00,56.666666666666664,97.46163394267658,348.3333333333333,58.333333333333336,51.666666666666664,349.4260074500508,63.36042680349152,67.51527077260322,84.22923278808594,59.58715991895049,62.58986
2016-05-14 06:00:00,63.333333333333336,97.46163394267658,348.3333333333333,146.66666666666666,53.333333333333336,349.5253414606615,73.88092849514142,77.83454681665785,112.34683990478516,97.11886507794244,82.81477
2016-05-14 07:00:00,113.33333333333331,97.46163394267658,348.3333333333333,176.66666666666666,148.33333333333334,349.62467547127216,101.51410771008946,104.96026067488573,138.23837280273438,164.56607823773967,131.89548
2016-05-14 08:00:00,133.33333333333334,97.46163394267658,348.3333333333333,338.3333333333333,121.66666666666669,349.72400948188283,120.07928339704534,122.3239797511733,154.2213592529297,172.78542899812467,169.19536
2016-05-14 09:00:00,118.33333333333331,97.46163394267658,348.3333333333333,93.33333333333331,153.33333333333334,349.8233434924935,105.61619034422759,107.06759171354324,137.30458068847656,149.09752482418793,185.30653
